Group,Measure ID,Shorthand,Description,Guidance No.,Guidance Description,Threat 1 Avg Perf,Threat 2 Avg Perf,Threat 3 Avg Perf
1,1,protection1,,,,0.001884216,0.441939829,0.353288131
1,2,protection2,,,,0.489206586,0.736017106,0.562820953
1,3,protection3,,,,0.098019497,0.693374127,0.782593536
1,4,protection4,,,,0.626006412,0.026553724,0.869689828
1,5,protection5,,,,0.429270168,0.075471865,0.275804233
1,6,protection6,,,,0.138885447,0.950938045,0.090076199
1,7,protection7,,,,0.79277288,0.052555897,0.755021352
1,8,protection8,,,,0.009867071,0.555210973,0.416083296
1,9,protection9,,,,0.129200339,0.808629297,0.520912828
1,10,protection10,,,,0.678907078,0.374854787,0.214467175
2,11,protection11,,,,0.803236793,0.130069107,0.640299454
2,12,protection12,,,,0.297249156,0.5250235,0.978731627
2,13,protection13,,,,0.776901024,0.111492317,0.667978873
2,14,protection14,,,,0.305779325,0.694316851,0.912925479
2,15,protection15,,,,0.163553361,0.236795007,0.99302691
2,16,protection16,,,,0.233024825,0.709635687,0.585998108
2,17,protection17,,,,0.637189039,0.141715327,0.04405527
2,18,protection18,,,,0.290805353,0.863839387,0.821756275
2,19,protection19,,,,0.552377987,0.186881054,0.189276618
2,20,protection20,,,,0.206628221,0.474506102,0.975909274
3,21,protection21,,,,0.33941719,0.385216365,0.432517657
3,22,protection22,,,,0.607334053,0.219653961,0.695311212
3,23,protection23,,,,0.236463624,0.205452726,0.084831522
3,24,protection24,,,,0.981820914,0.678869487,0.321970813
3,25,protection25,,,,0.241938021,0.995744228,0.600436826
3,26,protection26,,,,0.349105507,0.471278328,0.580577065
3,27,protection27,,,,0.920721373,0.455416536,0.483546907
3,28,protection28,,,,0.00431309,0.133552563,0.546950944
3,29,protection29,,,,0.176957591,0.040106683,0.91671983
4,30,protection30,,,,0.028741606,0.50964571,0.743559256
4,31,protection31,,,,0.495108553,0.958282351,0.913684034
4,32,protection32,,,,0.162813111,0.450057404,0.640796711
4,33,protection33,,,,0.57684729,0.901174346,0.417235422
4,34,protection34,,,,0.833204471,0.811373935,0.012443012
4,35,protection35,,,,0.956873959,0.039912415,0.621110802
4,36,protection36,,,,0.921729674,0.723657779,0.33022442
4,37,protection37,,,,0.554688138,0.82210759,0.39873412
4,38,protection38,,,,0.030917362,0.190228682,0.597432534
4,39,protection39,,,,0.655470215,0.271655942,0.32997884
5,40,protection40,,,,0.044296348,0.059731353,0.312503163
5,41,protection41,,,,0.258964887,0.188004648,0.019654727
5,42,protection42,,,,0.976352324,0.325743122,0.073120047
5,43,protection43,,,,0.519410999,0.430997795,0.855284087
5,44,protection44,,,,0.64657882,0.013966231,0.214981845
5,45,protection45,,,,0.008910601,0.167718478,0.404036999
5,46,protection46,,,,0.215908723,0.85285056,0.081551433
5,47,protection47,,,,0.355943072,0.588638769,0.225866944
5,48,protection48,,,,0.505427532,0.758291544,0.126946091
5,49,protection49,,,,0.765111632,0.68648759,0.145092333
6,50,protection50,,,,0.355370658,0.737344106,0.086232407
6,51,protection51,,,,0.411053933,0.811093768,0.966533219
6,52,protection52,,,,0.569794081,0.279336788,0.456992891
6,53,protection53,,,,0.766794128,0.792774341,0.30835782
6,54,protection54,,,,0.149466878,0.237924274,0.264926252
6,55,protection55,,,,0.031398379,0.894362898,0.056328664
6,56,protection56,,,,0.313507974,0.375700282,0.685730277
6,57,protection57,,,,0.869886315,0.870849887,0.228089459
6,58,protection58,,,,0.656904262,0.351888588,0.987634861
6,59,protection59,,,,0.245439618,0.66938963,0.029826417
7,60,protection60,,,,0.729457819,0.092160051,0.633543279
7,61,protection61,,,,0.583890917,0.161794691,0.767052747
7,62,protection62,,,,0.524084477,0.580803617,0.1047776
7,63,protection63,,,,0.197329993,0.261240822,0.663932984
7,64,protection64,,,,0.92338339,0.271402831,0.938841967
7,65,protection65,,,,0.93756532,0.982846976,0.886011322
7,66,protection66,,,,0.002138545,0.24222071,0.747476487
7,67,protection67,,,,0.873774851,0.17801129,0.644217284
7,68,protection68,,,,0.528843088,0.117426558,0.190854508
7,69,protection69,,,,0.071834932,0.820672684,0.92060417
8,70,protection70,,,,0.750910167,0.79128204,0.94933791
8,71,protection71,,,,0.122418543,0.716512195,0.318629092
8,72,protection72,,,,0.284342741,0.982386273,0.031241958
8,73,protection73,,,,0.666378986,0.602418436,0.368818765
8,74,protection74,,,,0.757770509,0.025224988,0.983423925
8,75,protection75,,,,0.530859876,0.792731799,0.742751301
8,76,protection76,,,,0.711597889,0.798102549,0.884390262
8,77,protection77,,,,0.82379868,0.513940251,0.219822969
8,78,protection78,,,,0.681906174,0.574248159,0.641931003
8,79,protection79,,,,0.265391814,0.325721645,0.247593774
9,80,protection80,,,,0.00891141,0.169818163,0.293084088
9,81,protection81,,,,0.030069674,0.998948436,0.147934336
9,82,protection82,,,,0.711875769,0.446454882,0.151227148
9,83,protection83,,,,0.092072639,0.377912104,0.313054637
9,84,protection84,,,,0.105879254,0.887796047,0.628724698
9,85,protection85,,,,0.779379259,0.705643107,0.778509551
9,86,protection86,,,,0.514747689,0.820137942,0.632320063
9,87,protection87,,,,0.612600035,0.264596068,0.836324788
9,88,protection88,,,,0.563682302,0.38373732,0.723574587
9,89,protection89,,,,0.706343339,0.144540892,0.747128412
10,90,protection90,,,,0.719561044,0.258477432,0.284394369
10,91,protection91,,,,0.845754748,0.919304967,0.819720943
10,92,protection92,,,,0.673102654,0.542423156,0.011118585
10,93,protection93,,,,0.14858186,0.438727741,0.853990589
10,94,protection94,,,,0.451799254,0.20899755,0.954805703
10,95,protection95,,,,0.292310048,0.234107093,0.804234122
10,96,protection96,,,,0.121194698,0.28984356,0.242719499
10,97,protection97,,,,0.606310876,0.673092063,0.064495744
10,98,protection98,,,,0.393919265,0.985301702,0.394394051
10,99,protection99,,,,0.901297291,0.786235486,0.348589396
11,100,protection100,,,,0.640275528,0.722122443,0.32714174
11,101,protection101,,,,0.672525802,0.233931962,0.875226544
11,102,protection102,,,,0.274413754,0.716316688,0.662809967
11,103,protection103,,,,0.245134253,0.679153955,0.809067883
11,104,protection104,,,,0.838592348,0.72489666,0.812519584
11,105,protection105,,,,0.547785867,0.064592205,0.941584542
