Measure.Group,Measure.ID,Description,Description_Short,Guidance No.,Guidance Description,PVTreat.Perf,TThreat.Perf,CThreat.Perf
600,1,600_600_600 Contiguous Office Space ,,,,0.001884216,0.441939829,0.353288131
600,2,Construct corridors and walls contiguous to non-US Gov. controlled spaces meet 5 min. FE protection and extend from the ceiling slab to floor slab. ,,,,0.489206586,0.736017106,0.562820953
600,3,Construct corridors and walls contiguous to non-US Gov. controlled spaces meet 15 min. FE protection and extend from the ceiling slab to floor slab. ,,,,0.098019497,0.693374127,0.782593536
600,4,Construct a privacy fence separates housing from Chancery/Consulate area ,,,,0.626006412,0.026553724,0.869689828
600,5,700_700_700 Perimeter Walls/Fences ,,,,0.429270168,0.075471865,0.275804233
600,6,Upgrade perimeter walls and fences to provide 9 ft height specification (without foot/hand holds) ,,,,0.138885447,0.950938045,0.090076199
600,7,Upgrade perimeter walls and fences to provide DS certified anti-ram specification in areas where vehicle approach is possible ,,,,0.79277288,0.052555897,0.755021352
600,8,Upgrade perimeter fences or walls to deny access to warehouse roof ,,,,0.009867071,0.555210973,0.416083296
600,9,Upgrade perimeter walls and fences are constructed with sufficient height ,,,,0.129200339,0.808629297,0.520912828
600,10,Upgrade perimeter walls and fences are constructed with sufficient height ,,,,0.678907078,0.374854787,0.214467175
600,11,Construct an approved perimeter wall or fence ,,,,0.803236793,0.130069107,0.640299454
600,12,Construct a perimeter wall in place of the perimeter fence ,,,,0.297249156,0.5250235,0.978731627
800,13,800_800_800 Setback ,,,,0.776901024,0.111492317,0.667978873
800,14,GSO review options to obtain sufficent setback distance to meet 100' OSPB and SECCA requirements. ,,,,0.305779325,0.694316851,0.912925479
800,15,GSO review options to obtain sufficent setback distance for facility to meet 50' OSPB requirements. ,,,,0.163553361,0.236795007,0.99302691
800,16,GSO review options to obtain sufficent setback distance for facility to meet 65' OSPB requirements. ,,,,0.233024825,0.709635687,0.585998108
800,17,GSO review options to obtain sufficent setback distance for Warehouse to meet 20' OSPB requirements. ,,,,0.637189039,0.141715327,0.04405527
800,18,800_800_800_Clear Zone ,,,,0.290805353,0.863839387,0.821756275
800,19,"Create a clear zone, free of all visual obstructions that would conceal an intruder, for a distance of 20 feet inward from the protected side of the perimeter wall or fence ",,,,0.552377987,0.186881054,0.189276618
900,20,900_900_900 ,,,,0.206628221,0.474506102,0.975909274
900,21,GSO obtain additional land to be leased or purchased adjacent to property to increase boundary line ,,,,0.33941719,0.385216365,0.432517657
1000,22,1000_1000_1000 ,,,,0.607334053,0.219653961,0.695311212
1000,23,Construct a CAC that meets all OSPB requirements. ,,,,0.236463624,0.205452726,0.084831522
1000,24,Upgrade CAC to provide anti-ram protection on street side that meets all OSPB requirements. ,,,,0.981820914,0.678869487,0.321970813
1000,25,Upgrade CAC to provide a guard booth that meets all OSPB requirements. ,,,,0.241938021,0.995744228,0.600436826
1000,26,Upgrade CAC Consular passback booth to meet 15 min. FE/BR on all sides with a door located on protected side of exterior wall ,,,,0.349105507,0.471278328,0.580577065
1000,27,Upgrade CAC Consular passback booth to be separate from guard booth. ,,,,0.920721373,0.455416536,0.483546907
1000,28,Upgrade CAC to add door/gates and barrier controls in CAC guard booth ,,,,0.00431309,0.133552563,0.546950944
1000,29,Upgrade CAC to ensure all penetrations to CAC Guard booth are protected ,,,,0.176957591,0.040106683,0.91671983
1000,30,Upgrade CAC Guard booth is 15 min. FE/BR on all sides ,,,,0.028741606,0.50964571,0.743559256
1000,31,Upgrade CAC Guard booth to connect emergency power ,,,,0.495108553,0.958282351,0.913684034
1000,32,"Upgrade CAC interior walls, windows or doors to meet 5 min. FE ",,,,0.162813111,0.450057404,0.640796711
1000,33,Upgrade CAC to 15 min. FE/BR on street side ,,,,0.57684729,0.901174346,0.417235422
1000,34,Upgrade Demarcation utility room street side door to provide 5 min. FE with exterior keyed cylinders for the forced entry locks ,,,,0.833204471,0.811373935,0.012443012
1000,35,Upgrade Demarcation utility room direct access only from the compound exterior ,,,,0.956873959,0.039912415,0.621110802
1000,36,"Upgrade Demarcation utility room street side access so wall opening is no greater than 625 sq. centimeters, and is grilled to 5 min. ",,,,0.921729674,0.723657779,0.33022442
1000,37,Upgrade Local guard barrier control with an emergency fast operation switch ,,,,0.554688138,0.82210759,0.39873412
1000,38,Upgrade Local guard barrier control with a reset capability ,,,,0.030917362,0.190228682,0.597432534
1000,39,Upgrade Local guard barrier control with an annunciator that sounds when barrier is in non-secure position for 0 to 60 sec ,,,,0.655470215,0.271655942,0.32997884
1000,40,Construct a Mantrap. ,,,,0.044296348,0.059731353,0.312503163
1000,41,"Upgrade Mantrap with walls, gates, or fencing to 9 ft tall or greater ",,,,0.258964887,0.188004648,0.019654727
1000,42,"Upgrade Mantrap with anti-climb walls, gates, or fencing ",,,,0.976352324,0.325743122,0.073120047
1000,43,Widen traffic lane. ,,,,0.519410999,0.430997795,0.855284087
1000,44,Add master override for Vehicle barrier in MSG Booth ,,,,0.64657882,0.013966231,0.214981845
1000,45,"Add Vehicle barrier does have emergency override, visual indication of barrier status, or barrier height is equal or greater than 36 inches ",,,,0.008910601,0.167718478,0.404036999
1000,46,Add Vehicle barrier hydraulic/electric power unit and secure in a locked room or thick steel enclosure protected by IDS alarm system ,,,,0.215908723,0.85285056,0.081551433
1000,47,Upgrade Vehicle barrier to protect 10' to 12' driveway ,,,,0.355943072,0.588638769,0.225866944
1000,48,Upgrade to DS approved vehicle barrier. ,,,,0.505427532,0.758291544,0.126946091
1000,49,Upgrade Vehicle barrier normal operating time so it is equal to or less than 3 to 4 seconds ,,,,0.765111632,0.68648759,0.145092333
1000,50,Upgrade Vehicle entrance so all walls/fences/gates are equal to or higher than 9 ft. ,,,,0.355370658,0.737344106,0.086232407
1000,51,Upgrade Vehicle entrance so all walls/fences/gates are anti-climb ,,,,0.411053933,0.811093768,0.966533219
1100,52,1100_1100_1100 Employee Parking ,,,,0.569794081,0.279336788,0.456992891
1100,53,Relocate employee parking to 50ft or further from building exterior. ,,,,0.766794128,0.792774341,0.30835782
1100,54,Relocate employee parking to 20ft or further from building exterior. ,,,,0.149466878,0.237924274,0.264926252
1100,55,Add wall or fence to employee parking outside perimeter wall ,,,,0.031398379,0.894362898,0.056328664
1100,56,Upgrade wall or fence to employee parking outside perimeter wall to 7ft or higher ,,,,0.313507974,0.375700282,0.685730277
1100,57,Upgrade to 9ft or greater the point where the exterior parking lot wall meets the compound wall. ,,,,0.869886315,0.870849887,0.228089459
1200,58,1200_1200_1200 Illumination ,,,,0.656904262,0.351888588,0.987634861
1200,59,Upgrade building exterior surfaces lighting ,,,,0.245439618,0.66938963,0.029826417
1200,60,Upgrade Exterior walls lighting ,,,,0.729457819,0.092160051,0.633543279
1200,61,Upgrade Roof Surfaces lighting ,,,,0.583890917,0.161794691,0.767052747
1200,62,Upgrade Building entrances lighting ,,,,0.524084477,0.580803617,0.1047776
1200,63,Upgrade Inspection locations lighting ,,,,0.197329993,0.261240822,0.663932984
1200,64,Upgrade Parking areas/lost lighting ,,,,0.92338339,0.271402831,0.938841967
1200,65,Upgrade Residence entrance and hallways lighting ,,,,0.93756532,0.982846976,0.886011322
1200,66,Upgrade Roadways lighting ,,,,0.002138545,0.24222071,0.747476487
1200,67,Upgrade Storage areas lighting ,,,,0.873774851,0.17801129,0.644217284
1200,68,Upgrade Pedestrian entrances lighting ,,,,0.528843088,0.117426558,0.190854508
1200,69,Upgrade CACs lighting ,,,,0.071834932,0.820672684,0.92060417
1200,70,Upgrade Roadway entrances lighting ,,,,0.750910167,0.79128204,0.94933791
1200,71,Upgrade Open Areas lighting ,,,,0.122418543,0.716512195,0.318629092
1200,72,Upgrade Perimeter walls/fences lighting ,,,,0.284342741,0.982386273,0.031241958
1200,73,Upgrade Water approaches lighting ,,,,0.666378986,0.602418436,0.368818765
1200,74,Upgrade Walkways lighting ,,,,0.757770509,0.025224988,0.983423925
1200,75,Upgrade Property line lighting ,,,,0.530859876,0.792731799,0.742751301
1200,76,Tie lighting to post standby power ,,,,0.711597889,0.798102549,0.884390262
1200,77,Add lighting to master cutoff ,,,,0.82379868,0.513940251,0.219822969
1200,78,Move lighting master cutoff inside ,,,,0.681906174,0.574248159,0.641931003
1300,79,1300_1300_1300_BLAST ,,,,0.265391814,0.325721645,0.247593774
1300,80,Conduct a blast vulnerability study ,,,,0.00891141,0.169818163,0.293084088
1300,81,Implement blast vulnerablity study recommendations ,,,,0.030069674,0.998948436,0.147934336
1300,82,Upgrade building to blast standards ,,,,0.711875769,0.446454882,0.151227148
1300,83,1300_1300_1300_Bldg_Exterior ,,,,0.092072639,0.377912104,0.313054637
1300,84,Upgrade building exterior by grilling man passable openings ,,,,0.105879254,0.887796047,0.628724698
1300,85,Upgrade building exterior walls construction to substantial material construction ,,,,0.779379259,0.705643107,0.778509551
1300,86,Upgrade building exterior to meet FE/BR standards ,,,,0.514747689,0.820137942,0.632320063
1300,87,Upgrade building exterior to make it difficult to scale ,,,,0.612600035,0.264596068,0.836324788
1300,88,Upgrade building exterior doors to meet FE/BR standards ,,,,0.563682302,0.38373732,0.723574587
1300,89,Upgrade building exterior doors with strong and robust with RSO-approved hardware ,,,,0.706343339,0.144540892,0.747128412
1300,90,Upgrade building exterior windows to meet FE/BR standards ,,,,0.719561044,0.258477432,0.284394369
1300,91,Upgrade building exterior windows with 8 mil SRWF ,,,,0.845754748,0.919304967,0.819720943
