Physical Security Measure ID #,Deficiency / Conforming,FacilityID,Lat,Long,Facility type,Post Name,RFA ID,Building Name,RFAType,Measure ID,Description,Description_Short,PVThreat,Tthreat,Cthreat,Region,Country
1,Conforming,1,42.4604° N,71.3489° W,Consular facility,Concord Consular Compond,1,"Office, consular",Office building,1,600_600_600 Contiguous Office Space ,,Alpha,Charlie,Bravo,Northeast,USA
2,Deficient,1,42.4604° N,71.3489° W,Consular facility,Concord Consular Compond,1,"Office, consular",Office building,4,Construct a privacy fence separates housing from Chancery/Consulate area ,,Alpha,Charlie,Bravo,Northeast,
3,Conforming,1,42.4604° N,71.3489° W,Consular facility,Concord Consular Compond,1,"Office, consular",Office building,6,Upgrade perimeter walls and fences to provide 9 ft height specification (without foot/hand holds) ,,Alpha,Charlie,Bravo,Northeast,
4,Deficient,1,42.4604° N,71.3489° W,Consular facility,Concord Consular Compond,1,"Office, consular",Office building,7,Upgrade perimeter walls and fences to provide DS certified anti-ram specification in areas where vehicle approach is possible ,,Alpha,Charlie,Bravo,Northeast,
5,Conforming,1,42.4604° N,71.3489° W,Consular facility,Concord Consular Compond,1,"Office, consular",Office building,15,GSO review options to obtain sufficent setback distance for facility to meet 50' OSPB requirements. ,,Alpha,Charlie,Bravo,Northeast,
6,Deficient,1,42.4604° N,71.3489° W,Consular facility,Concord Consular Compond,1,"Office, consular",Office building,26,Upgrade CAC Consular passback booth to meet 15 min. FE/BR on all sides with a door located on protected side of exterior wall ,,Alpha,Charlie,Bravo,Northeast,
7,Deficient,1,42.4604° N,71.3489° W,Consular facility,Concord Consular Compond,1,"Office, consular",Office building,27,Upgrade CAC Consular passback booth to be separate from guard booth. ,,Alpha,Charlie,Bravo,Northeast,
8,Deficient,1,42.4604° N,71.3489° W,Consular facility,Concord Consular Compond,1,"Office, consular",Office building,38,Upgrade Local guard barrier control with a reset capability ,,Alpha,Charlie,Bravo,Northeast,
9,Conforming,1,42.4604° N,71.3489° W,Consular facility,Concord Consular Compond,1,"Office, consular",Office building,50,Upgrade Vehicle entrance so all walls/fences/gates are equal to or higher than 9 ft. ,,Alpha,Charlie,Bravo,Northeast,
10,Conforming,1,42.4604° N,71.3489° W,Consular facility,Concord Consular Compond,1,"Office, consular",Office building,51,Upgrade Vehicle entrance so all walls/fences/gates are anti-climb ,,Alpha,Charlie,Bravo,Northeast,
11,Deficient,1,42.4604° N,71.3489° W,Consular facility,Concord Consular Compond,1,"Office, consular",Office building,55,Add wall or fence to employee parking outside perimeter wall ,,Alpha,Charlie,Bravo,Northeast,
12,Deficient,1,42.4604° N,71.3489° W,Consular facility,Concord Consular Compond,1,"Office, consular",Office building,69,Upgrade CACs lighting ,,Alpha,Charlie,Bravo,Northeast,
13,Conforming,1,42.4604° N,71.3489° W,Consular facility,Concord Consular Compond,1,"Office, consular",Office building,77,Add lighting to master cutoff ,,Alpha,Charlie,Bravo,Northeast,
14,Conforming,1,42.4604° N,71.3489° W,Consular facility,Concord Consular Compond,1,"Office, consular",Office building,78,Move lighting master cutoff inside ,,Alpha,Charlie,Bravo,Northeast,
15,Conforming,1,42.4604° N,71.3489° W,Consular facility,Concord Consular Compond,1,"Office, consular",Office building,80,Conduct a blast vulnerability study ,,Alpha,Charlie,Bravo,Northeast,
16,Deficient,1,42.4604° N,71.3489° W,Consular facility,Concord Consular Compond,1,"Office, consular",Office building,86,Upgrade building exterior to meet FE/BR standards ,,Alpha,Charlie,Bravo,Northeast,
17,Deficient,1,42.4604° N,71.3489° W,Consular facility,Concord Consular Compond,1,"Office, consular",Office building,90,Upgrade building exterior windows to meet FE/BR standards ,,Alpha,Charlie,Bravo,Northeast,
18,Conforming,1,42.4604° N,71.3489° W,Consular facility,Concord Consular Compond,1,"Office, consular",Office building,93,"Upgrade emergency exit doors with electric emergency lock, override and panic exit device ",,Alpha,Charlie,Bravo,Northeast,
19,Deficient,1,42.4604° N,71.3489° W,Consular facility,Concord Consular Compond,1,"Office, consular",Office building,113,Upgrade MSG/Guard booth with emergency power source ,,Alpha,Charlie,Bravo,Northeast,
20,Deficient,1,42.4604° N,71.3489° W,Consular facility,Concord Consular Compond,1,"Office, consular",Office building,125,Review all secure rooms not located in a CAA to determine if they need to be moved or upgraded. ,,Alpha,Charlie,Bravo,Northeast,
21,Deficient,1,42.4604° N,71.3489° W,Consular facility,Concord Consular Compond,1,"Office, consular",Office building,140,Add PCC emergency generator backup ,,Alpha,Charlie,Bravo,Northeast,
22,Deficient,1,42.4604° N,71.3489° W,Consular facility,Concord Consular Compond,1,"Office, consular",Office building,141,Add PCC means of egress ,,Alpha,Charlie,Bravo,Northeast,
23,Deficient,1,42.4604° N,71.3489° W,Consular facility,Concord Consular Compond,1,"Office, consular",Office building,142,Upgrade PCC to have spherical zone of control ,,Alpha,Charlie,Bravo,Northeast,
24,Deficient,1,42.4604° N,71.3489° W,Consular facility,Concord Consular Compond,2,Consular staff residence,Residence,6,Upgrade perimeter walls and fences to provide 9 ft height specification (without foot/hand holds) ,,Alpha,Charlie,Bravo,Northeast,
25,Deficient,1,42.4604° N,71.3489° W,Consular facility,Concord Consular Compond,2,Consular staff residence,Residence,19,"Create a clear zone, free of all visual obstructions that would conceal an intruder, for a distance of 20 feet inward from the protected side of the perimeter wall or fence ",,Alpha,Charlie,Bravo,Northeast,
26,Conforming,1,42.4604° N,71.3489° W,Consular facility,Concord Consular Compond,2,Consular staff residence,Residence,62,Upgrade Building entrances lighting ,,Alpha,Charlie,Bravo,Northeast,
27,Deficient,1,42.4604° N,71.3489° W,Consular facility,Concord Consular Compond,2,Consular staff residence,Residence,65,Upgrade Residence entrance and hallways lighting ,,Alpha,Charlie,Bravo,Northeast,
28,Deficient,1,42.4604° N,71.3489° W,Consular facility,Concord Consular Compond,2,Consular staff residence,Residence,71,Upgrade Open Areas lighting ,,Alpha,Charlie,Bravo,Northeast,
29,Deficient,1,42.4604° N,71.3489° W,Consular facility,Concord Consular Compond,2,Consular staff residence,Residence,91,Upgrade building exterior windows with 8 mil SRWF ,,Alpha,Charlie,Bravo,Northeast,
30,Deficient,1,42.4604° N,71.3489° W,Consular facility,Concord Consular Compond,2,Consular staff residence,Residence,96,Upgrade Residential Apartment building exterior door to hollow metal door with vision panel and access control hardware. ,,Alpha,Charlie,Bravo,Northeast,
31,Deficient,1,42.4604° N,71.3489° W,Consular facility,Concord Consular Compond,2,Consular staff residence,Residence,97,Upgrade residence exterior doors to provide 5 min. FE protection. ,,Alpha,Charlie,Bravo,Northeast,
32,Conforming,1,42.4604° N,71.3489° W,Consular facility,Concord Consular Compond,2,Consular staff residence,Residence,124,Configure CAA access points to prevent observation of entrants ,,Alpha,Charlie,Bravo,Northeast,
33,Conforming,1,42.4604° N,71.3489° W,Consular facility,Concord Consular Compond,2,Consular staff residence,Residence,144,Upgrade facility to have sufficient safe havens or safe haven space for all assigned staff ,,Alpha,Charlie,Bravo,Northeast,
34,Deficient,1,42.4604° N,71.3489° W,Consular facility,Concord Consular Compond,2,Consular staff residence,Residence,145,Upgrade Routes to safe haven(s) to provide protection from ballistic or mob attack ,,Alpha,Charlie,Bravo,Northeast,
