Physical Security Measure ID #,Measure Type,FacilityID,Lat,Long,Facility type,Post Name,RFA ID,Building Name,RFAType,Measure ID,Description,Description_Short,PVThreat,Tthreat,Cthreat,Region,Country
1,Conforming,1,42.4604° N,71.3489° W,Consular facility,Concord Consular Compond,1,"Office, consular",Office building,1,600_600_600 Contiguous Office Space ,,Alpha,Charlie,Bravo,Northeast,USA
3,Conforming,1,42.4604° N,71.3489° W,Consular facility,Concord Consular Compond,1,"Office, consular",Office building,6,Upgrade perimeter walls and fences to provide 9 ft height specification (without foot/hand holds) ,,Alpha,Charlie,Bravo,Northeast,
5,Conforming,1,42.4604° N,71.3489° W,Consular facility,Concord Consular Compond,1,"Office, consular",Office building,15,GSO review options to obtain sufficent setback distance for facility to meet 50' OSPB requirements. ,,Alpha,Charlie,Bravo,Northeast,
9,Conforming,1,42.4604° N,71.3489° W,Consular facility,Concord Consular Compond,1,"Office, consular",Office building,50,Upgrade Vehicle entrance so all walls/fences/gates are equal to or higher than 9 ft. ,,Alpha,Charlie,Bravo,Northeast,
10,Conforming,1,42.4604° N,71.3489° W,Consular facility,Concord Consular Compond,1,"Office, consular",Office building,51,Upgrade Vehicle entrance so all walls/fences/gates are anti-climb ,,Alpha,Charlie,Bravo,Northeast,
13,Conforming,1,42.4604° N,71.3489° W,Consular facility,Concord Consular Compond,1,"Office, consular",Office building,77,Add lighting to master cutoff ,,Alpha,Charlie,Bravo,Northeast,
14,Conforming,1,42.4604° N,71.3489° W,Consular facility,Concord Consular Compond,1,"Office, consular",Office building,78,Move lighting master cutoff inside ,,Alpha,Charlie,Bravo,Northeast,
15,Conforming,1,42.4604° N,71.3489° W,Consular facility,Concord Consular Compond,1,"Office, consular",Office building,80,Conduct a blast vulnerability study ,,Alpha,Charlie,Bravo,Northeast,
18,Conforming,1,42.4604° N,71.3489° W,Consular facility,Concord Consular Compond,1,"Office, consular",Office building,93,"Upgrade emergency exit doors with electric emergency lock, override and panic exit device ",,Alpha,Charlie,Bravo,Northeast,
26,Conforming,1,42.4604° N,71.3489° W,Consular facility,Concord Consular Compond,2,Consular staff residence,Residence,62,Upgrade Building entrances lighting ,,Alpha,Charlie,Bravo,Northeast,
32,Conforming,1,42.4604° N,71.3489° W,Consular facility,Concord Consular Compond,2,Consular staff residence,Residence,124,Configure CAA access points to prevent observation of entrants ,,Alpha,Charlie,Bravo,Northeast,
33,Conforming,1,42.4604° N,71.3489° W,Consular facility,Concord Consular Compond,2,Consular staff residence,Residence,144,Upgrade facility to have sufficient safe havens or safe haven space for all assigned staff ,,Alpha,Charlie,Bravo,Northeast,
35,Conforming,1,42.4604° N,71.3489° W,Consular facility,Concord Consular Compond,2,Consular staff residence,Residence,149,Upgrade Safe haven(s) doors to meet safe haven door standards ,,Alpha,Charlie,Bravo,Northeast,
37,Conforming,1,42.4604° N,71.3489° W,Consular facility,Concord Consular Compond,2,Consular staff residence,Residence,151,Upgrade safe haven to have secured storage for emergency supplies ,,Alpha,Charlie,Bravo,Northeast,
40,Conforming,1,42.4604° N,71.3489° W,Consular facility,Concord Consular Compond,3,Warehouse - supply and distribution,Warehouse,8,Upgrade perimeter fences or walls to deny access to warehouse roof ,,Alpha,Charlie,Bravo,Northeast,
43,Conforming,1,42.4604° N,71.3489° W,Consular facility,Concord Consular Compond,3,Warehouse - supply and distribution,Warehouse,59,Upgrade building exterior surfaces lighting ,,Alpha,Charlie,Bravo,Northeast,
47,Conforming,1,42.4604° N,71.3489° W,Consular facility,Concord Consular Compond,3,Warehouse - supply and distribution,Warehouse,92,Upgrade building exterior windows to resist unauthorized access (grills or otherwise constructed) ,,Alpha,Charlie,Bravo,Northeast,
49,Conforming,1,42.4604° N,71.3489° W,Consular facility,Concord Consular Compond,3,Warehouse - supply and distribution,Warehouse,104,Upgrade roll-up-down door locking mechanism is accessible from interior only ,,Alpha,Charlie,Bravo,Northeast,
51,Conforming,1,42.4604° N,71.3489° W,Consular facility,Concord Consular Compond,3,Warehouse - supply and distribution,Warehouse,161,Upgrade safe area with secondary egress that meets FE/BR and is away from entrance ,,Alpha,Charlie,Bravo,Northeast,
56,Conforming,1,42.4604° N,71.3489° W,Consular facility,Concord Consular Compond,4,Warehouse - mechanical,Warehouse,45,"Add Vehicle barrier does have emergency override, visual indication of barrier status, or barrier height is equal or greater than 36 inches ",,Alpha,Charlie,Bravo,Northeast,
57,Conforming,1,42.4604° N,71.3489° W,Consular facility,Concord Consular Compond,4,Warehouse - mechanical,Warehouse,59,Upgrade building exterior surfaces lighting ,,Alpha,Charlie,Bravo,Northeast,
58,Conforming,1,42.4604° N,71.3489° W,Consular facility,Concord Consular Compond,4,Warehouse - mechanical,Warehouse,80,Conduct a blast vulnerability study ,,Alpha,Charlie,Bravo,Northeast,
59,Conforming,1,42.4604° N,71.3489° W,Consular facility,Concord Consular Compond,4,Warehouse - mechanical,Warehouse,85,Upgrade building exterior walls construction to substantial material construction ,,Alpha,Charlie,Bravo,Northeast,
62,Conforming,1,42.4604° N,71.3489° W,Consular facility,Concord Consular Compond,4,Warehouse - mechanical,Warehouse,102,Upgrade roll-up-down doors with doors of substantial material ,,Alpha,Charlie,Bravo,Northeast,
63,Conforming,1,42.4604° N,71.3489° W,Consular facility,Concord Consular Compond,4,Warehouse - mechanical,Warehouse,104,Upgrade roll-up-down door locking mechanism is accessible from interior only ,,Alpha,Charlie,Bravo,Northeast,
64,Conforming,1,42.4604° N,71.3489° W,Consular facility,Concord Consular Compond,4,Warehouse - mechanical,Warehouse,154,Upgrade facility with sufficient safe areas or safe area space for all assigned staff ,,Alpha,Charlie,Bravo,Northeast,
65,Conforming,1,42.4604° N,71.3489° W,Consular facility,Concord Consular Compond,4,Warehouse - mechanical,Warehouse,161,Upgrade safe area with secondary egress that meets FE/BR and is away from entrance ,,Alpha,Charlie,Bravo,Northeast,
71,Conforming,1,42.4604° N,71.3489° W,Consular facility,Concord Consular Compond,5,Facilities building,Warehouse,87,Upgrade building exterior to make it difficult to scale ,,Alpha,Charlie,Bravo,Northeast,
72,Conforming,1,42.4604° N,71.3489° W,Consular facility,Concord Consular Compond,5,Facilities building,Warehouse,89,Upgrade building exterior doors with strong and robust with RSO-approved hardware ,,Alpha,Charlie,Bravo,Northeast,
73,Conforming,1,42.4604° N,71.3489° W,Consular facility,Concord Consular Compond,5,Facilities building,Warehouse,172,Close off all but one designated door for all Lock and Leave facilities. ,,Alpha,Charlie,Bravo,Northeast,
74,Conforming,1,42.4604° N,71.3489° W,Consular facility,Concord Consular Compond,5,Facilities building,Warehouse,176,Install approved Lock and Leave door ,,Alpha,Charlie,Bravo,Northeast,
75,Conforming,2,42.3601° N,71.0589° W,Embassy,Boston MA,6,Embassy building,Office building,6,Upgrade perimeter walls and fences to provide 9 ft height specification (without foot/hand holds) ,,Alpha,Delta,Bravo,Northeast,
76,Conforming,2,42.3601° N,71.0589° W,Embassy,Boston MA,6,Embassy building,Office building,10,Upgrade perimeter walls and fences are constructed with sufficient height ,,Alpha,Delta,Bravo,Northeast,
79,Conforming,2,42.3601° N,71.0589° W,Embassy,Boston MA,6,Embassy building,Office building,53,Relocate employee parking to 50ft or further from building exterior. ,,Alpha,Delta,Bravo,Northeast,
81,Conforming,2,42.3601° N,71.0589° W,Embassy,Boston MA,6,Embassy building,Office building,68,Upgrade Pedestrian entrances lighting ,,Alpha,Delta,Bravo,Northeast,
84,Conforming,2,42.3601° N,71.0589° W,Embassy,Boston MA,6,Embassy building,Office building,92,Upgrade building exterior windows to resist unauthorized access (grills or otherwise constructed) ,,Alpha,Delta,Bravo,Northeast,
86,Conforming,2,42.3601° N,71.0589° W,Embassy,Boston MA,6,Embassy building,Office building,119,Consular/Interview/Other Public Access Areas: Upgrade Teller windows to 5 min. FE/BR ,,Alpha,Delta,Bravo,Northeast,
90,Conforming,2,42.3601° N,71.0589° W,Embassy,Boston MA,6,Embassy building,Office building,192,"Relocate EC room to a dedicated room, behind the interior hardline, as close to the MSG/Guard booth as possible ",,Alpha,Delta,Bravo,Northeast,
93,Conforming,3,40.7128° N,74.0060° W,Consular office,"New York City, NY",7,Rented office in large building,Office,53,Relocate employee parking to 50ft or further from building exterior. ,,Alpha,Delta,Bravo,Northeast,
94,Conforming,3,40.7128° N,74.0060° W,Consular office,"New York City, NY",7,Rented office in large building,Office,91,Upgrade building exterior windows with 8 mil SRWF ,,Alpha,Delta,Bravo,Northeast,
97,Conforming,3,40.7128° N,74.0060° W,Consular office,"New York City, NY",7,Rented office in large building,Office,154,Upgrade facility with sufficient safe areas or safe area space for all assigned staff ,,Alpha,Delta,Bravo,Northeast,
98,Conforming,3,40.7128° N,74.0060° W,Consular office,"New York City, NY",7,Rented office in large building,Office,161,Upgrade safe area with secondary egress that meets FE/BR and is away from entrance ,,Alpha,Delta,Bravo,Northeast,
99,Conforming,3,40.7128° N,74.0060° W,Consular office,"New York City, NY",7,Rented office in large building,Office,162,"Upgrade Safe area with emergency power, ventilation and lighting ",,Alpha,Delta,Bravo,Northeast,
101,Conforming,4,42.4440° N,76.5019° W,Diplomatic support facility,Ithaca NY,8,Office building,Office building,9,Upgrade perimeter walls and fences are constructed with sufficient height ,,Alpha,Charlie,Delta,Northeast,
102,Conforming,4,42.4440° N,76.5019° W,Diplomatic support facility,Ithaca NY,8,Office building,Office building,15,GSO review options to obtain sufficent setback distance for facility to meet 50' OSPB requirements. ,,Alpha,Charlie,Delta,Northeast,
103,Conforming,4,42.4440° N,76.5019° W,Diplomatic support facility,Ithaca NY,8,Office building,Office building,19,"Create a clear zone, free of all visual obstructions that would conceal an intruder, for a distance of 20 feet inward from the protected side of the perimeter wall or fence ",,Alpha,Charlie,Delta,Northeast,
107,Conforming,4,42.4440° N,76.5019° W,Diplomatic support facility,Ithaca NY,8,Office building,Office building,62,Upgrade Building entrances lighting ,,Alpha,Charlie,Delta,Northeast,
113,Conforming,4,42.4440° N,76.5019° W,Diplomatic support facility,Ithaca NY,8,Office building,Office building,154,Upgrade facility with sufficient safe areas or safe area space for all assigned staff ,,Alpha,Charlie,Delta,Northeast,
115,Conforming,4,42.4440° N,76.5019° W,Diplomatic support facility,Ithaca NY,8,Office building,Office building,162,"Upgrade Safe area with emergency power, ventilation and lighting ",,Alpha,Charlie,Delta,Northeast,
